Experiment no.,Subject_ID,Starting_Frame,Ending_Frame,Activity_ID
16,8,6919,7083,10
16,8,7357,7473,8
16,8,9093,9948,1
16,8,10224,11055,1
16,8,11682,12162,3
16,8,12315,12895,2
16,8,13123,13597,3
16,8,13785,14294,2
16,8,14517,14997,3
16,8,15196,15706,2
17,9,453,1212,5
17,9,1213,1330,7
17,9,1331,2156,4
17,9,2157,2262,8
17,9,2263,3234,5
17,9,3235,3422,11
17,9,3423,4283,6
17,9,4284,4460,10
17,9,4461,5585,4
17,9,5586,5789,9
17,9,5790,6682,6
17,9,6683,6850,12
17,9,7891,8811,1
17,9,9030,9950,1
17,9,10717,10943,3
17,9,10969,11354,3
17,9,11585,11907,2
17,9,11922,12370,2
17,9,12492,12707,3
17,9,12880,13226,3
17,9,13350,13946,2
17,9,14135,14714,3
17,9,14846,15441,2
18,9,660,1459,5
18,9,1460,1591,7
18,9,1592,2454,4
18,9,2455,2551,8
18,9,2552,3522,5
18,9,3523,3781,11
18,9,3782,4702,6
18,9,4703,4830,10
18,9,4831,5794,4
18,9,5795,5955,9
18,9,5956,7111,6
18,9,7112,7260,12
18,9,7922,8823,1
18,9,9014,9929,1
18,9,10522,11096,3
18,9,11185,11791,2
18,9,11955,12519,3
18,9,12617,13215,2
18,9,13378,13952,3
18,9,14134,14666,2
19,10,388,1237,5
19,10,1238,1370,7
19,10,1371,2238,4
19,10,2239,2327,8
19,10,2459,3353,5
19,10,3354,3582,11
19,10,3583,4655,6
19,10,4656,4824,10
19,10,4825,5702,4
19,10,5703,5883,9
19,10,5884,6919,6
19,10,6920,7037,12
19,10,8046,9011,1
19,10,9352,10272,1
19,10,10886,11379,3
19,10,11571,12097,2
19,10,12289,12793,3
19,10,12947,13527,2
19,10,13689,14223,3
19,10,14440,15051,2
20,10,423,1249,5
20,10,1250,1361,7
20,10,1362,2540,4
20,10,2541,2618,8
20,10,2750,3544,5
20,10,3545,3697,11
20,10,3698,4504,6
20,10,4505,4618,10
20,10,4619,5583,4
20,10,5584,5742,9
20,10,5743,7007,6
20,10,7008,7144,12
21,10,1581,2498,1
21,10,2741,3645,1
21,10,4250,4749,3
21,10,4896,5472,2
21,10,5588,6090,3
21,10,6189,6797,2
21,10,6941,7468,3
21,10,7633,8260,2
22,11,415,1233,5
22,11,1234,1374,7
22,11,1375,2379,4
22,11,2380,2511,8
22,11,2512,3360,5
22,11,3361,3553,11
22,11,3554,4555,6
22,11,4556,4734,10
22,11,4735,5572,4
22,11,5573,5757,9
22,11,5758,6865,6
22,11,6866,7004,12
22,11,7870,8980,1
22,11,9197,9868,1
22,11,10046,10384,1
22,11,10823,11393,3
22,11,11610,12227,2
22,11,12488,13043,3
22,11,13183,13839,2
22,11,14008,14596,3
22,11,14707,15373,2
23,11,698,1715,5
23,11,1716,1887,7
23,11,1888,2939,4
23,11,2940,3071,8
23,11,3072,3993,5
23,11,3994,4180,11
23,11,4181,5297,6
23,11,5298,5519,10
23,11,5520,6437,4
23,11,6438,6635,9
23,11,6636,7474,6
23,11,7475,7670,12
23,11,8486,9529,1
23,11,9707,10763,1
23,11,11369,11957,3
23,11,12089,12767,2
23,11,12918,13501,3
23,11,13628,14298,2
23,11,14425,15040,3
23,11,15168,15874,2
24,12,512,1298,5
24,12,1299,1473,7
24,12,1474,2338,4
24,12,2339,2442,8
24,12,2580,3725,5
24,12,3900,4104,11
24,12,4105,5082,6
24,12,5083,5260,10
24,12,5261,6417,4
24,12,6418,6590,9
24,12,6591,7547,6
24,12,7548,7754,12
24,12,8447,9432,1
24,12,9531,10487,1
24,12,11017,11664,3
24,12,11749,12429,2
24,12,12527,13156,3
24,12,13259,13953,2
24,12,14145,14774,3
24,12,14905,15585,2
25,12,189,1753,5
25,12,1754,1943,7
25,12,1944,2651,4
25,12,2652,2789,8
25,12,2790,3635,5
25,12,3636,3802,11
25,12,3803,5087,6
25,12,5088,5266,10
25,12,5267,6420,4
25,12,6421,6602,9
25,12,6603,7687,6
25,12,7688,7875,12
25,12,8546,9406,1
25,12,9606,10436,1
25,12,11000,11548,3
25,12,11656,12286,2
25,12,12443,13012,3
25,12,13146,13776,2
25,12,13902,14415,3
25,12,14567,15214,2
26,13,304,1423,5
26,13,1574,1711,7
26,13,1712,2616,4
26,13,2617,2758,8
26,13,2759,3728,5
26,13,3729,3923,11
26,13,3924,4866,6
26,13,4867,5056,10
26,13,5057,5881,4
26,13,5882,6107,9
26,13,6108,7364,6
26,13,7365,7623,12
26,13,8559,9528,1
26,13,9848,10942,1
26,13,11773,12461,3
26,13,12621,13443,2
26,13,13747,14440,3
26,13,14552,15272,2
26,13,15443,16088,3
26,13,16216,16969,2
27,13,474,1431,5
27,13,1432,1681,7
27,13,1682,2422,4
27,13,2423,2581,8
27,13,2582,3788,5
27,13,3789,3979,11
27,13,3980,4972,6
27,13,4973,5165,10
27,13,5166,6200,4
27,13,6201,6412,9
27,13,6413,7498,6
27,13,7499,7695,12
27,13,8583,9515,1
27,13,9759,10762,1
27,13,11588,12114,3
27,13,12277,12874,2
27,13,13073,13625,3
27,13,13793,14430,2
27,13,14628,15132,3
27,13,15274,15892,2
28,14,210,1372,5
28,14,1373,1670,7
28,14,1671,2549,4
28,14,2550,2685,8
28,14,2686,3654,5
28,14,3655,3996,11
28,14,3997,4851,6
28,14,4852,5077,10
28,14,5078,6034,4
28,14,6035,6323,9
28,14,6324,7119,6
28,14,7120,7408,12
28,14,8168,9303,1
28,14,9672,10688,1
28,14,11923,12543,3
28,14,12736,13418,2
28,14,13664,14271,3
28,14,14500,15146,2
28,14,15330,15906,3
28,14,16060,16707,2
29,14,342,1379,5
29,14,1380,1556,7
29,14,1557,2578,4
29,14,2579,2718,8
29,14,2719,3811,5
29,14,3812,4075,11
29,14,4076,4872,6
29,14,4873,5019,10
29,14,5020,6034,4
29,14,6035,6206,9
29,14,6207,7220,6
29,14,7221,7417,12
29,14,8208,9240,1
29,14,9536,10538,1
29,14,11254,11807,3
29,14,12030,12691,2
29,14,12879,13442,3
29,14,13575,14286,2
29,14,14429,14997,3
29,14,15121,15753,2
30,15,239,1161,5
30,15,1162,1305,7
30,15,1306,2172,4
30,15,2173,2282,8
30,15,2283,3369,5
30,15,3370,3563,11
30,15,3564,4489,6
30,15,4490,4655,10
30,15,4656,5763,4
30,15,5764,5965,9
30,15,5966,7515,6
30,15,7516,7716,12
30,15,8601,9593,1
30,15,9858,10817,1
30,15,11585,12152,3
30,15,12291,12899,2
30,15,13041,13601,3
30,15,13780,14388,2
30,15,14609,15139,3
30,15,15302,15914,2
31,15,185,1229,5
31,15,1230,1367,7
31,15,1368,2448,4
31,15,2449,2601,8
31,15,2602,3489,5
31,15,3490,3752,11
31,15,3753,4929,6
31,15,4930,5098,10
31,15,5099,6322,4
31,15,6323,6527,9
31,15,6528,7985,6
31,15,7986,8144,12
31,15,8869,9818,1
31,15,9989,10929,1
31,15,11591,12137,3
31,15,12288,12882,2
31,15,13047,13598,3
31,15,13710,14309,2
31,15,14469,15005,3
31,15,15122,15736,2
32,16,475,1818,5
32,16,1819,1998,7
32,16,1999,3031,4
32,16,3032,3140,8
32,16,3141,4295,5
32,16,4296,4530,11
32,16,4531,5717,6
32,16,5718,5901,10
32,16,5902,6944,4
32,16,6945,7139,9
32,16,7140,8355,6
32,16,8356,8501,12
32,16,9293,10181,1
32,16,10602,11564,1
32,16,12248,12843,3
32,16,13145,13804,2
32,16,14141,14736,3
32,16,15004,15673,2
32,16,16045,16630,3
32,16,16823,17468,2
33,16,420,2088,5
33,16,2089,2263,7
33,16,2264,3774,4
33,16,3775,3883,8
33,16,3884,5145,5
33,16,5146,5337,11
33,16,5338,6669,6
33,16,6670,6852,10
33,16,6853,7928,4
33,16,7929,8109,9
33,16,8110,9260,6
33,16,9261,9416,12
33,16,10158,11046,1
33,16,11398,12304,1
33,16,13113,13674,3
33,16,13948,14561,2
33,16,14887,15468,3
33,16,15787,16401,2
33,16,16727,17307,3
33,16,17568,18201,2
34,17,398,2429,5
34,17,2430,2571,7
34,17,2708,3823,4
34,17,3824,3976,8
34,17,3977,5073,5
34,17,5074,5311,11
34,17,5312,6362,6
34,17,6363,6573,10
34,17,6574,7787,4
34,17,7788,8099,9
34,17,8100,9588,6
34,17,9589,9788,12
34,17,10862,12031,1
34,17,12448,13529,1
34,17,14527,15204,3
34,17,15650,16252,2
34,17,16581,17185,3
34,17,17557,18172,2
34,17,18512,19042,3
34,17,19326,19924,2
35,17,414,1680,5
35,17,1681,1834,7
35,17,1835,2969,4
35,17,2970,3127,8
35,17,3128,4409,5
35,17,4410,4745,11
35,17,4746,5811,6
35,17,5812,6082,10
35,17,6083,7145,4
35,17,7146,7347,9
35,17,7348,8875,6
35,17,8876,9113,12
35,17,10091,11142,1
35,17,11545,12559,1
35,17,13292,13886,3
35,17,14099,14736,2
35,17,15049,15585,3
35,17,15877,16503,2
35,17,16811,17400,3
35,17,17666,18303,2
36,18,704,2198,5
36,18,2199,2505,7
36,18,2506,3549,4
36,18,3550,3731,8
36,18,3732,5183,5
36,18,5184,5480,11
36,18,5481,6648,6
36,18,6649,6893,10
36,18,6894,8115,4
36,18,8116,8366,9
36,18,8367,9677,6
36,18,9678,9883,12
36,18,11529,12516,1
36,18,13026,14054,1
36,18,15158,15876,3
36,18,16345,17063,2
36,18,17459,18139,3
36,18,18546,19239,2
36,18,19653,20333,3
36,18,20688,21413,2
37,18,827,2132,5
37,18,2133,2359,7
37,18,2360,3318,4
37,18,3319,3494,8
37,18,3495,4683,5
37,18,4684,4927,11
37,18,4928,6122,6
37,18,6123,6287,10
37,18,6288,7356,4
37,18,7357,7555,9
37,18,7556,8787,6
37,18,8788,8979,12
37,18,9977,10989,1
37,18,11351,12297,1
37,18,13290,13934,3
37,18,14237,14914,2
37,18,15269,15933,3
37,18,16236,16939,2
37,18,17265,17943,3
37,18,18280,19003,2
38,19,1417,2797,5
38,19,2798,2976,7
38,19,2977,4274,4
38,19,4275,4409,8
38,19,4410,5872,5
38,19,5873,6128,11
38,19,6129,7559,6
38,19,7560,7756,10
38,19,7757,9036,4
38,19,9037,9212,9
38,19,9213,10638,6
38,19,10639,10799,12
38,19,11469,12479,1
38,19,12579,13502,1
38,19,14097,14653,3
38,19,14803,15349,2
38,19,15536,16062,3
38,19,16246,16782,2
38,19,16952,17467,3
38,19,17720,18245,2
39,19,518,1723,5
39,19,1724,1886,7
39,19,1887,2935,4
39,19,2936,3057,8
39,19,3058,4206,5
39,19,4207,4526,11
39,19,4527,6096,6
39,19,6097,6246,10
39,19,6247,7654,4
39,19,7655,7857,9
39,19,7858,9194,6
39,19,9195,9334,12
39,19,9950,10853,1
39,19,11080,11958,1
39,19,12576,13063,3
39,19,13232,13776,2
39,19,13916,14411,3
39,19,14522,15013,2
39,19,15128,15607,3
39,19,15743,16229,2
40,20,594,2071,5
40,20,2072,2272,7
40,20,2273,3617,4
40,20,3618,3799,8
40,20,3800,5014,5
40,20,5145,5569,11
40,20,5570,6781,6
40,20,6782,6937,10
40,20,6938,8038,4
40,20,8039,8335,9
40,20,8336,9351,6
40,20,9352,9523,12
40,20,10276,11251,1
40,20,11647,12565,1
40,20,13187,13741,3
40,20,14015,14640,2
40,20,15004,15560,3
40,20,16088,16808,2
40,20,17074,17697,3
40,20,17859,18476,2
41,20,303,1713,5
41,20,1714,1932,7
41,20,1933,2939,4
41,20,2940,3060,8
41,20,3061,4293,5
41,20,4294,4658,11
41,20,4659,5909,6
41,20,5910,6101,10
41,20,6102,7321,4
41,20,7322,7602,9
41,20,7769,8975,6
41,20,8976,9133,12
41,20,9946,10785,1
41,20,10961,11828,1
41,20,12344,12956,3
41,20,13070,13699,2
41,20,13846,14396,3
41,20,14544,15201,2
41,20,15354,15972,3
41,20,16103,16738,2
